北   京	200601	527391.92	71180.67	415546.07	5612.10	35053.08
天   津	200601	106848.41	29782.92	69464.76	1112.65	6488.08
河   北	200601	216499.65	56302.07	141604.72	3068.62	15524.25
山   西	200601	176539.98	28646.61	142616.44	1711.82	3565.11
内蒙古	200601	50995.68	21640.36	26313.47	1402.91	1638.94
辽   宁	200601	157439.23	35669.85	108510.98	2628.83	10629.57
吉   林	200601	81980.57	16216.08	61990.28	1061.07	2713.14
黑龙江	200601	145239.86	22776.77	113968.50	3071.56	5423.03
上   海	200601	447606.18	158850.32	257346.33	6794.40	24615.13
江   苏	200601	602208.82	129801.08	430208.32	11030.02	31169.40
浙   江	200601	284662.82	98421.78	168106.15	6261.16	11873.73
安   徽	200601	190164.51	36899.53	145612.77	2154.19	5498.02
福   建	200601	126899.23	43581.01	72470.53	2644.21	8203.47
江   西	200601	84284.84	20965.19	57501.48	2268.07	3550.10
山   东	200601	289523.23	68860.44	200222.74	5172.83	15267.22
河   南	200601	223594.37	42531.36	160625.51	4257.50	16180.01
湖   北	200601	164089.77	46619.94	107353.22	2219.08	7897.53
湖   南	200601	120780.39	35177.10	76473.10	3260.24	5869.95
广   东	200601	415475.35	136138.87	234333.52	15267.26	29735.70
广   西	200601	94526.57	31465.52	58717.24	2020.08	2323.73
海   南	200601	15776.52	9389.48	5405.21	300.30	681.52
重   庆	200601	76058.67	19494.96	49173.26	2883.83	4506.62
四   川	200601	220194.19	55580.43	142505.87	5929.15	16178.74
贵   州	200601	42483.84	20884.31	17773.01	2502.88	1323.64
云   南	200601	80666.49	35157.60	36263.88	4644.82	4600.19
西   藏	200601	2238.61	2091.95	0.00	146.66	0.00
陕   西	200601	110492.13	25136.51	78176.71	3051.22	4127.69
甘   肃	200601	50656.39	13305.59	34566.30	686.77	2097.73
青   海	200601	6857.22	3807.31	2407.73	195.07	447.10
宁   夏	200601	14496.89	7003.19	5322.11	415.00	1756.59
新   疆	200601	78432.36	17784.90	52810.64	1995.41	5841.41
深   圳	200601	167720.98	64509.58	90839.79	4512.11	7859.50
大   连	200601	49539.77	18375.65	26444.03	768.70	3951.39
宁   波	200601	60716.80	29726.15	27266.86	1267.51	2456.28
青   岛	200601	52131.34	24448.77	21645.19	1196.96	4840.42
厦   门	200601	27699.60	12708.37	11770.13	776.35	2444.75
集团、总公司本级	200601	21158.49	21021.32	14.02	52.77	70.38
北京	200602	817376.67	113809.43	624431.85	10704.25	68431.13
天津	200602	187578.93	47112.77	125713.23	2163.36	12589.58
河北	200602	378677.25	87117.35	264299.68	5674.04	21586.18
山西	200602	259805.82	46204.35	204119.00	3197.70	6284.78
内蒙古	200602	85672.53	30285.66	50223.91	2332.67	2830.30
辽宁	200602	283106.39	58600.67	202664.33	4082.02	17759.37
吉林	200602	151143.14	27980.56	115554.35	2577.22	5031.02
黑龙江	200602	257911.60	31365.98	213051.26	4156.46	9337.90
上海	200602	813767.96	223201.66	525446.13	13292.40	51827.79
江苏	200602	1138019.77	198775.34	866958.25	17776.47	54509.70
浙江	200602	554510.04	161607.39	358643.35	11522.52	22736.78
安徽	200602	354973.78	59485.04	280012.67	4072.66	11403.42
福建	200602	258606.14	68312.63	169735.12	5440.53	15117.86
江西	200602	174769.68	30468.62	133475.85	4142.80	6682.41
山东	200602	522557.03	114291.08	371744.36	8982.84	27538.75
河南	200602	445892.50	64130.38	350538.62	7544.79	23678.70
湖北	200602	272096.36	64254.45	188441.12	4406.92	14993.87
湖南	200602	244580.41	50612.37	176957.47	6025.85	10984.72
广东	200602	751357.04	206225.11	473859.82	18352.38	52919.74
广西	200602	144934.62	44915.74	91876.04	3967.61	4175.23
海南	200602	24013.90	11841.80	10473.92	641.65	1056.51
重庆	200602	144192.99	30705.21	100942.95	4508.38	8036.46
四川	200602	424988.29	87568.82	297576.12	12344.90	27498.44
贵州	200602	77700.83	29252.52	41203.06	4363.59	2881.65
云南	200602	138734.71	51954.21	71776.14	6662.62	8341.74
西藏	200602	3153.41	2966.15	0.00	187.26	0.00
陕西	200602	174919.10	38220.57	125583.49	4349.13	6765.91
甘肃	200602	88374.08	20109.33	63451.64	1436.91	3376.20
青海	200602	10654.58	5391.61	4320.65	295.05	647.27
宁夏	200602	25329.43	9616.99	11473.58	755.63	3483.23
新疆	200602	139298.00	27880.93	97922.29	3328.44	10166.35
深圳	200602	238407.59	95078.79	123507.45	7562.73	12258.62
大连	200602	98249.77	29391.26	60168.59	1615.58	7074.34
宁波	200602	101204.25	43638.66	51007.80	2288.97	4268.80
青岛	200602	89402.20	34941.35	44667.67	1904.97	7888.22
厦门	200602	45420.22	17388.08	22327.04	1416.82	4288.28
集团、总公司本级	200602	51042.66	50873.44	21.11	66.35	81.76
北京	200603	1154082.41	180477.52	973604.89	17737.94	107986.47
天津	200603	286093.71	72559.34	213534.37	4360.30	21092.66
河北	200603	665783.89	154860.97	510922.92	13817.81	36092.07
山西	200603	425252.89	91733.80	333519.10	7396.31	12696.86
内蒙古	200603	169316.89	52537.16	116779.73	5480.57	5505.39
辽宁	200603	522588.73	109040.55	413548.18	8337.68	30551.85
吉林	200603	248515.56	47402.99	201112.56	5659.02	9971.67
黑龙江	200603	461995.93	61983.36	400012.57	8527.26	16148.64
上海	200603	1191756.81	307849.52	883907.29	23660.20	81356.45
江苏	200603	1787257.91	302596.93	1484660.99	31931.71	83939.23
浙江	200603	904136.62	249833.36	654303.26	22861.97	37658.41
安徽	200603	532095.26	94747.23	437348.03	8071.99	19762.65
福建	200603	402031.19	103850.01	298181.19	10700.87	23629.67
江西	200603	285258.83	50418.87	234839.96	12275.98	14517.81
山东	200603	859601.29	204977.04	654624.25	18617.67	45551.59
河南	200603	728475.12	108867.42	619607.70	16761.22	36804.47
湖北	200603	459518.41	100724.80	358793.61	10552.19	27116.49
湖南	200603	409889.78	87105.83	322783.94	15980.47	19216.68
广东	200603	1263269.48	322665.16	940604.32	35969.46	79041.93
广西	200603	232988.27	70134.48	162853.79	10497.31	9632.84
海南	200603	41865.38	17294.37	24571.02	1338.50	1738.47
重庆	200603	232856.88	49782.02	183074.86	8727.98	13825.14
四川	200603	670452.52	140829.37	529623.15	24550.21	45285.17
贵州	200603	138467.36	43722.64	94744.72	8064.10	5602.07
云南	200603	242908.01	89712.64	153195.37	11769.47	12697.01
西藏	200603	4633.16	4406.00	227.15	227.15	0.00
陕西	200603	298296.22	68097.35	230198.87	7709.23	11765.19
甘肃	200603	154137.22	35336.94	118800.28	3141.25	7198.05
青海	200603	19912.56	10155.44	9757.13	583.17	972.86
宁夏	200603	42650.85	15674.51	26976.34	1395.38	5737.25
新疆	200603	230262.72	48903.77	181358.95	6422.97	18337.15
深圳	200603	341135.55	141818.09	199317.47	12962.27	18195.02
大连	200603	168188.24	50323.03	117865.20	3504.48	12172.51
宁波	200603	150765.49	65595.58	85169.91	3804.14	7282.76
青岛	200603	143144.72	53099.34	90045.38	3296.65	11813.71
厦门	200603	67971.63	23292.76	44678.88	2329.62	6758.07
集团、总公司本级	200603	77131.17	76935.31	195.86	96.13	77.52
北京	200604	1465516.35	250181.78	1045276.91	24426.09	145631.58
天津	200604	373035.40	93246.66	244679.08	6231.06	28878.60
河北	200604	866214.39	206561.09	593964.42	18507.32	47181.56
辽宁	200604	681875.74	154172.47	477495.50	11190.74	39017.02
大连	200604	224614.58	68113.23	134750.67	5262.03	16488.64
上海	200604	1508316.02	390974.62	980163.41	32049.46	105128.52
江苏	200604	2178655.33	406660.86	1624995.31	42069.35	104929.82
浙江	200604	1128618.90	344546.74	705425.13	30632.17	48014.86
宁波	200604	196954.76	89060.82	93369.44	5239.42	9285.09
福建	200604	516222.49	137479.10	330489.55	14282.39	33971.46
厦门	200604	91359.53	31744.93	47034.79	3276.20	9303.61
山东	200604	1120499.88	276035.78	759004.04	25375.32	60084.75
青岛	200604	192384.41	70447.89	101549.49	4683.06	15703.96
广东	200604	1626830.34	420740.29	1055054.76	50118.25	100917.04
深圳	200604	451029.00	186431.84	220107.35	18760.53	25729.28
海南	200604	65977.24	29246.25	32429.98	1709.13	2591.88
山西	200604	535925.47	122451.71	387638.65	9719.94	16115.17
吉林	200604	316784.25	66580.89	229646.51	7614.29	12942.55
黑 龙 江	200604	605516.57	83888.67	488597.51	10957.75	22072.65
安徽	200604	659015.04	128691.24	493673.55	10559.83	26090.41
江西	200604	354149.29	68828.52	253534.04	14336.21	17450.51
河南	200604	935723.18	147683.95	722171.54	21344.86	44522.83
湖北	200604	584830.97	135510.48	400550.22	14212.15	34558.11
湖南	200604	526086.94	117102.41	362856.11	19836.07	26292.34
重庆	200604	306032.62	70315.69	206563.34	11214.53	17939.07
四川	200604	863488.21	197300.98	575442.85	32056.28	58688.09
贵州	200604	177096.26	58353.74	100931.93	10412.41	7398.18
云南	200604	317141.80	117391.88	165789.41	14926.29	19034.23
西藏	200604	6612.12	6312.42	0.00	299.69	0.00
陕西	200604	400176.16	96269.17	278517.43	9688.68	15700.89
甘肃	200604	201024.25	49691.84	137303.77	4465.89	9562.76
青海	200604	26884.78	13934.18	10856.64	805.45	1288.51
宁夏	200604	58700.51	20973.26	27815.00	2002.29	7909.96
新疆	200604	313629.31	78120.88	200927.68	9461.54	25119.21
内 蒙 古	200604	226097.47	70569.55	140565.31	7590.74	7371.88
广西	200604	290255.29	88911.76	176692.39	12686.23	11964.91
集团、总公司本级	200604	61198.00	60860.05	287.32	-135.44	186.08
北京	200605	1727176.84	304095.96	1212200.16	30792.76	180087.96
天津	200605	458865.66	107960.94	305739.57	7945.76	37219.40
河北	200605	1081607.10	253807.07	743488.81	22628.17	61683.05
辽宁	200605	838824.28	191334.79	583526.31	13967.58	49995.60
